9/2/2026, Epoch 2

[200~+ python utils/evaluate_aida_forecast.py -f output/20260101/t12z/fcst.0p25.f024.nc -t ../data/icosahedral-truth/icosahedral_logstate_m6.20260102.t12z.0p25.f000.nc -c metrics_f024.csv -p metrics_f024_profile.png
[EVALUATOR] Evaluating Forecast: 'output/20260101/t12z/fcst.0p25.f024.nc'
[EVALUATOR] Against Truth File : '../data/icosahedral-truth/icosahedral_logstate_m6.20260102.t12z.0p25.f000.nc'
[SUCCESS] CSV evaluation metrics saved to: 'metrics_f024.csv'
=====================================================================================
 METRIC SUMMARY TABLE | Lead Time Evaluation
=====================================================================================
 Var   | Level    |   Mean Truth |         RMSE |         BIAS |      ACC
-------------------------------------------------------------------------------------
 T     | L01     |     285.4468 |       6.6843 |      -0.6829 |   0.8926
 T     | L17     |     275.7112 |       3.4749 |      -0.6646 |   0.9599
 T     | L32     |     215.5376 |       2.2768 |      -0.8295 |   0.9710
 P     | L01     |     998.3765 |      16.8110 |      15.1239 |   0.7286
 P     | L17     |     746.1446 |       6.0629 |      -2.0902 |   0.9183
 P     | L32     |      92.4046 |      20.4884 |      20.4755 |   0.9868
 Q     | L01     |       0.0098 |       0.0050 |      -0.0001 |   0.7634
 Q     | L17     |       0.0039 |       0.0020 |      -0.0001 |   0.8022
 Q     | L32     |       0.0000 |       0.0000 |       0.0000 |   0.6535
 U     | L01     |      -0.7828 |       8.1991 |      -0.1152 |   0.5457
 U     | L17     |       3.1103 |       5.8737 |      -0.0358 |   0.7359
 U     | L32     |       9.3226 |       5.8599 |      -0.0746 |   0.9132
 V     | L01     |      -0.5552 |       8.5395 |       0.0868 |   0.4218
 V     | L17     |      -0.0402 |       5.9556 |      -0.0678 |   0.5980
 V     | L32     |       0.2237 |       6.5601 |      -0.0471 |   0.7350
 W     | L01     |       0.0088 |       0.5985 |       0.0009 |   0.1178
 W     | L17     |       0.0042 |       0.4113 |      -0.0046 |   0.0526
 W     | L32     |       0.0000 |       0.0009 |      -0.0009 |   0.0000
 RHO   | L01     |       1.2217 |       0.0320 |       0.0001 |   0.8810
 RHO   | L17     |       0.9440 |       0.0113 |      -0.0006 |   0.9237
 RHO   | L32     |       0.1496 |       0.0016 |       0.0000 |   0.9790
=====================================================================================

